Court,State,Civil Statute of Limitations (Majority),Total Police Action Cases,Total Time-Barred Defenses
E.D.N.Y.,New York,3,"6,959",62
N.D.Ill.,Illinois,2,"5,368",180
S.D.N.Y.,New York,3,"5,231",68
C.D.Cal.,California,2,"4,345",59
E.D.Pa.,Pennsylvania,2,"2,454",58
E.D.Mich.,Michigan,3,"2,282",38
D.N.J.,New Jersey,2,"2,136",62
N.D.Cal.,California,2,"2,116",40
E.D.Cal.,California,2,"1,709",34
M.D.Fla.,Florida,4,"1,379",19
S.D.Fla.,Florida,4,"1,124",16
S.D.Tex.,Texas,2,"1,111",39
D.Colo.,Colorado,2,"1,094",28
N.D.Ga.,Georgia,2,"1,086",19
D.N.M.,New Mexico,3,"1,065",18
N.D.Ohio,Ohio,2,965,33
D.Conn.,Connecticut,3,911,21
W.D.Tex.,Texas,2,882,21
D.Mass.,Massachusetts,3,868,17
N.D.Ind.,Indiana,2,866,11
D.Minn.,Minnesota,2,841,11
S.D.Ohio,Ohio,2,804,36
S.D.Cal.,California,2,775,13
N.D.Tex.,Texas,2,774,24
D.Ariz.,Arizona,2,761,26
S.D.Ind.,Indiana,2,751,18
D.Md.,Maryland,3,743,26
M.D.Pa.,Pennsylvania,2,721,22
W.D.Pa.,Pennsylvania,2,703,26
N.D.N.Y.,New York,3,697,25
W.D.La.,Louisiana,1,689,30
D.Or.,Oregon,2,647,23
W.D.Wash.,Washington,3,638,23
D.Nev.,Nevada,2,628,20
N.D.Ala.,Alabama,2,600,21
E.D.Tenn.,Tennessee,1,592,22
E.D.Mo.,Missouri,5,588,13
D.D.C.,Washington D.C.,3,564,16
E.D.La.,Louisiana,1,536,16
W.D.N.Y.,New York,3,522,14
S.D.Miss.,Mississippi,3,509,33
E.D.Va.,Virginia,2,488,12
W.D.Mich.,Michigan,3,476,7
E.D.Ark.,Arkansas,3,438,19
N.D.Fla.,Florida,4,434,2
E.D.Tex.,Texas,2,433,15
C.D.Ill.,Illinois,2,430,10
W.D.Mo.,Missouri,5,410,8
N.D.Miss.,Mississippi,3,391,8
M.D.Tenn.,Tennessee,1,385,12
W.D.Ky.,Kentucky,1,354,17
E.D.Wis.,Wisconsin,3,350,3
D.Utah,Utah,4,348,5
E.D.N.C.,North Carolina,3,345,12
M.D.Ga.,Georgia,2,341,15
W.D.Tenn.,Tennessee,1,320,16
W.D.Okla.,Oklahoma,2,315,12
E.D.Ky.,Kentucky,1,298,20
S.D.W.Va.,West Virginia,2,274,6
D.S.C.,South Carolina,3,266,7
M.D.Ala.,Alabama,2,258,9
M.D.La.,Louisiana,1,257,10
D.Kan.,Kansas,2,251,14
W.D.N.C.,North Carolina,3,249,6
D.P.R.,Puerto Rico,2,238,12
S.D.Ga.,Georgia,2,237,7
S.D.Ill.,Illinois,2,225,5
E.D.Wash.,Washington,3,221,11
N.D.Okla.,Oklahoma,2,220,11
D.Idaho,Idaho,2,190,3
E.D.Okla.,Oklahoma,2,188,5
D.Del.,Delaware,2,180,2
D.Mont.,Montana,3,178,7
D.N.H.,New Hampshire,3,173,5
S.D.Iowa,Iowa,2,172,3
D.Haw.,Hawaii,2,170,9
D.R.I.,Rhode Island,3,170,2
D.Neb.,Nebraska,4,154,3
W.D.Va.,West Virginia,2,151,4
W.D.Ark.,Arkansas,3,145,4
M.D.N.C.,North Carolina,3,140,6
S.D.Ala.,Alabama,2,129,8
N.D.W.Va.,West Virginia,2,117,8
D.Me.,Maine,6,116,4
N.D.Iowa,Iowa,2,110,3
D.Vt.,Vermont,3,105,1
D.Wyo.,Wyoming,4,98,5
D.Alaska,Alaska,2,86,2
D.S.D.,South Dakota,3,77,2
D.N.D.,North Dakota,6,47,2
D.V.I.,Virgin Islands,3,21,4
D.N.Mar.I.,Northern Mariana Islands,6,9,0
D.Guam,Guam,2,4,0
